rw,num_jobs,cache_size,qd,metric,unit,value
randread,32,512KB,18,latency_avg,us,1092.210033
randread,32,512KB,20,latency_avg,us,1202.430832
randread,32,512KB,22,latency_avg,us,1314.587941
randread,32,512KB,24,latency_avg,us,1428.243132
randread,32,512KB,26,latency_avg,us,1543.042098
randread,32,512KB,28,latency_avg,us,1658.704223
randread,32,512KB,30,latency_avg,us,1775.011128
randread,32,512KB,32,latency_avg,us,1891.795396
randread,32,1024KB,1,latency_avg,us,325.595092
randread,32,1024KB,2,latency_avg,us,358.046502
randread,32,1024KB,4,latency_avg,us,428.716045
randread,32,1024KB,6,latency_avg,us,506.753477
randread,32,1024KB,8,latency_avg,us,591.606262
randread,32,1024KB,10,latency_avg,us,682.581075
randread,32,1024KB,12,latency_avg,us,778.905213
randread,32,1024KB,14,latency_avg,us,879.785065
randread,32,1024KB,16,latency_avg,us,984.454573
randread,32,1024KB,18,latency_avg,us,1092.210033
randread,32,1024KB,20,latency_avg,us,1202.430832
randread,32,1024KB,22,latency_avg,us,1314.587941
randread,32,1024KB,24,latency_avg,us,1428.243132
randread,32,1024KB,26,latency_avg,us,1543.042098
randread,32,1024KB,28,latency_avg,us,1658.704223
randread,32,1024KB,30,latency_avg,us,1775.011128
randread,32,1024KB,32,latency_avg,us,1891.795396
randread,32,1536KB,1,latency_avg,us,325.595092
randread,32,1536KB,2,latency_avg,us,358.046502
randread,32,1536KB,4,latency_avg,us,428.716045
randread,32,1536KB,6,latency_avg,us,506.753477
randread,32,1536KB,8,latency_avg,us,591.606262
randread,32,1536KB,10,latency_avg,us,682.581075
randread,32,1536KB,12,latency_avg,us,778.905213
randread,32,1536KB,14,latency_avg,us,879.785065
randread,32,1536KB,16,latency_avg,us,984.454573
randread,32,1536KB,18,latency_avg,us,1092.210033
randread,32,1536KB,20,latency_avg,us,1202.430832
randread,32,1536KB,22,latency_avg,us,1314.587941
randread,32,1536KB,24,latency_avg,us,1428.243132
randread,32,1536KB,26,latency_avg,us,1543.042098
randread,32,1536KB,28,latency_avg,us,1658.704223
randread,32,1536KB,30,latency_avg,us,1775.011128
randread,32,1536KB,32,latency_avg,us,1891.795396
randread,32,2048KB,1,latency_avg,us,325.595092
randread,32,2048KB,2,latency_avg,us,358.046502
randread,32,2048KB,4,latency_avg,us,428.716045
randread,32,2048KB,6,latency_avg,us,506.753477
randread,32,2048KB,8,latency_avg,us,591.606262
randread,32,2048KB,10,latency_avg,us,682.581075
randread,32,2048KB,12,latency_avg,us,778.905213
randread,32,2048KB,14,latency_avg,us,879.785065
randread,32,2048KB,16,latency_avg,us,984.454573
randread,32,2048KB,18,latency_avg,us,1092.210033
randread,32,2048KB,20,latency_avg,us,1202.430832
randread,32,2048KB,22,latency_avg,us,1314.587941
randread,32,2048KB,24,latency_avg,us,1428.243132
randread,32,2048KB,26,latency_avg,us,1543.042098
randread,32,2048KB,28,latency_avg,us,1658.704223
randread,32,2048KB,30,latency_avg,us,1775.011128
randread,32,2048KB,32,latency_avg,us,1891.795396
randread,64,512KB,1,latency_avg,us,480.014822
randread,64,512KB,2,latency_avg,us,527.856936
randread,64,512KB,4,latency_avg,us,632.042868
randread,64,512KB,6,latency_avg,us,747.091052
randread,64,512KB,8,latency_avg,us,872.186900
randread,64,512KB,10,latency_avg,us,1006.308267
randread,64,512KB,12,latency_avg,us,1148.315978
randread,64,512KB,14,latency_avg,us,1297.040040
randread,64,512KB,16,latency_avg,us,1451.351073
randread,64,512KB,18,latency_avg,us,1610.211630
randread,64,512KB,20,latency_avg,us,1772.706762
randread,64,512KB,22,latency_avg,us,1938.056535
randread,64,512KB,24,latency_avg,us,2105.614884
randread,64,512KB,26,latency_avg,us,2274.859466
randread,64,512KB,28,latency_avg,us,2445.376577
randread,64,512KB,30,latency_avg,us,2616.844266
randread,64,512KB,32,latency_avg,us,2789.015718
randread,64,1024KB,1,latency_avg,us,480.014822
randread,64,1024KB,2,latency_avg,us,527.856936
randread,64,1024KB,4,latency_avg,us,632.042868
randread,64,1024KB,6,latency_avg,us,747.091052
randread,64,1024KB,8,latency_avg,us,872.186900
randread,64,1024KB,10,latency_avg,us,1006.308267
randread,64,1024KB,12,latency_avg,us,1148.315978
randread,64,1024KB,14,latency_avg,us,1297.040040
randread,64,1024KB,16,latency_avg,us,1451.351073
randread,64,1024KB,18,latency_avg,us,1610.211630
randread,64,1024KB,20,latency_avg,us,1772.706762
randread,64,1024KB,22,latency_avg,us,1938.056535
randread,64,1024KB,24,latency_avg,us,2105.614884
randread,64,1024KB,26,latency_avg,us,2274.859466
randread,64,1024KB,28,latency_avg,us,2445.376577
randread,64,1024KB,30,latency_avg,us,2616.844266
randread,64,1024KB,32,latency_avg,us,2789.015718
randread,64,1536KB,1,latency_avg,us,480.014822
randread,64,1536KB,2,latency_avg,us,527.856936
randread,64,1536KB,4,latency_avg,us,632.042868
randread,64,1536KB,6,latency_avg,us,747.091052
randread,64,1536KB,8,latency_avg,us,872.186900
randread,64,1536KB,10,latency_avg,us,1006.308267
randread,64,1536KB,12,latency_avg,us,1148.315978
randread,64,1536KB,14,latency_avg,us,1297.040040
randread,64,1536KB,16,latency_avg,us,1451.351073
randread,64,1536KB,18,latency_avg,us,1610.211630
randread,64,1536KB,20,latency_avg,us,1772.706762
randread,64,1536KB,22,latency_avg,us,1938.056535
randread,64,1536KB,24,latency_avg,us,2105.614884
randread,64,1536KB,26,latency_avg,us,2274.859466
randread,64,1536KB,28,latency_avg,us,2445.376577
randread,64,1536KB,30,latency_avg,us,2616.844266
randread,64,1536KB,32,latency_avg,us,2789.015718
randread,64,2048KB,1,latency_avg,us,480.014822
randread,64,2048KB,2,latency_avg,us,527.856936
randread,64,2048KB,4,latency_avg,us,632.042868
randread,64,2048KB,6,latency_avg,us,747.091052
randread,64,2048KB,8,latency_avg,us,872.186900
randread,64,2048KB,10,latency_avg,us,1006.308267
randread,64,2048KB,12,latency_avg,us,1148.315978
